"Customer_ID"	"Customer_Name"	"Gender"	"Date_of_Birth"	"Age"	"Phone"	"Email"	"City"	"State"	"Registration_Date"
"C0001"	"Nisha Choudhary"	"Female"	"1967-06-14"	"59"	"9854371627"	"nishachoudhary51@gmail.com"	"Chennai"	"Tamil Nadu"	"2023-01-09"
"C0002"	"Shubham Mishra"	"Male"	"1972-01-18"	"54"	"9375908980"	"shubhammishra57@icloud.com"	"Kochi"	"Kerala"	"2024-07-09"
"C0003"	"Niraj Bhoir"	"Male"	"1968-11-15"	"58"	"9736145848"	"nirajbhoir38@outlook.com"	"Hyderabad"	"Telangana"	"2024-12-17"
"C0004"	"Aanya Gupta"	"Female"	"2003-08-25"	"23"	"9935128173"	"aanyagupta29@gmail.com"	"Jaipur"	"Rajasthan"	"2023-04-26"
"C0005"	"Sneha Gupta"	"Female"	"1995-12-09"	"31"	"9385587580"	"snehagupta22@gmail.com"	"Kolkata"	"West Bengal"	"2025-01-18"
"C0006"	"Suhani Kashyap"	"Female"	"1981-07-13"	"45"	"9898287625"	"suhanikashyap34@icloud.com"	"Kochi"	"Kerala"	"2024-07-24"
"C0007"	"Lavanya Grover"	"Female"	"1990-07-28"	"36"	"9537320073"	"lavanyagrover96@icloud.com"	"Jaipur"	"Rajasthan"	"2024-02-03"
"C0008"	"Charvi Kapoor"	"Female"	"1998-09-12"	"28"	"9585295755"	"charvikapoor62@icloud.com"	"Chandigarh"	"Punjab"	"2025-09-11"
"C0009"	"Firoz Multani"	"Male"	"2003-09-17"	"23"	"9136707644"	"firozmultani53@gmail.com"	"Bengaluru"	"Karnataka"	"2022-10-21"
"C0010"	"Aanya Sharma"	"Female"	"2007-06-26"	"19"	"9808608112"	"aanyasharma57@yahoo.com"	"Jaipur"	"Rajasthan"	"2023-04-12"
"C0011"	"Sanjay Tandon"	"Male"	"2003-01-13"	"23"	"9684299180"	"sanjaytandon61@yahoo.com"	"Delhi"	"Delhi"	"2024-08-26"
"C0012"	"Radhika Sharma"	"Female"	"2007-09-15"	"19"	"9370358888"	"radhikasharma42@icloud.com"	"Delhi"	"Delhi"	"2024-10-09"
"C0013"	"Darpan Suri"	"Male"	"1992-07-28"	"34"	"9489668960"	"darpansuri27@outlook.com"	"Chennai"	"Tamil Nadu"	"2023-09-10"
"C0014"	"Shreya Patel"	"Female"	"1989-05-07"	"37"	"8985101758"	"shreyapatel37@outlook.com"	"Bengaluru"	"Karnataka"	"2023-10-28"
"C0015"	"Dev Mishra"	"Male"	"2006-05-02"	"20"	"9779374920"	"devmishra23@icloud.com"	"Jaipur"	"Rajasthan"	"2023-04-28"
"C0016"	"Abhay Tomar"	"Male"	"2006-08-11"	"20"	"9307534549"	"abhaytomar57@icloud.com"	"Pune"	"Maharashtra"	"2023-10-02"
"C0017"	"Abhinandan Tomar"	"Male"	"1998-12-03"	"28"	"9856579909"	"abhinandantomar90@icloud.com"	"Hyderabad"	"Telangana"	"2022-12-04"
"C0018"	"Diya Kapoor"	"Female"	"1972-06-15"	"54"	"9524322670"	"diyakapoor93@icloud.com"	"Chennai"	"Tamil Nadu"	"2023-06-12"
"C0019"	"Shamsher Bisht"	"Male"	"1996-04-18"	"30"	"9855440000"	"shamsherbisht49@gmail.com"	"Hyderabad"	"Telangana"	"2022-02-02"
"C0020"	"Shaurya Nair"	"Male"	"2000-01-09"	"26"	"9992762119"	"shauryanair61@icloud.com"	"Pune"	"Maharashtra"	"2023-05-14"
"C0021"	"Aanya Bansal"	"Female"	"2006-07-09"	"20"	"9815794928"	"aanyabansal78@gmail.com"	"Lucknow"	"Uttar Pradesh"	"2025-06-26"
"C0022"	"Riya Malhotra"	"Female"	"2004-02-23"	"22"	"9700184763"	"riyamalhotra91@yahoo.com"	"Kochi"	"Kerala"	"2023-05-08"
"C0023"	"Priya Iyer"	"Female"	"1997-07-02"	"29"	"9195613927"	"priyaiyer34@outlook.com"	"Kolkata"	"West Bengal"	"2025-05-28"
"C0024"	"Girish Naidu"	"Male"	"1994-06-20"	"32"	"9889946101"	"girishnaidu16@icloud.com"	"Pune"	"Maharashtra"	"2024-05-23"
"C0025"	"Amit Arora"	"Male"	"1979-04-05"	"47"	"9596694550"	"amitarora25@yahoo.com"	"Kochi"	"Kerala"	"2022-05-04"
"C0026"	"Rahul Iyer"	"Male"	"2005-01-06"	"21"	"9999814266"	"rahuliyer15@gmail.com"	"Kolkata"	"West Bengal"	"2024-09-19"
"C0027"	"Tejash Ranganathan"	"Male"	"1993-11-25"	"33"	"9866174369"	"tejashranganathan25@icloud.com"	"Pune"	"Maharashtra"	"2023-10-21"
"C0028"	"Anvi Puri"	"Female"	"2006-08-27"	"20"	"9134558587"	"anvipuri47@outlook.com"	"Kochi"	"Kerala"	"2024-11-02"
"C0029"	"Vineet Singhania"	"Male"	"1999-10-08"	"27"	"9110524219"	"vineetsinghania80@gmail.com"	"Jaipur"	"Rajasthan"	"2025-02-05"
"C0030"	"Vineeth Chandrasekhar"	"Male"	"2006-09-02"	"20"	"9961837417"	"vineethchandrasekhar20@gmail.com"	"Mumbai"	"Maharashtra"	"2024-11-01"
"C0031"	"Simran Malhotra"	"Female"	"2001-07-28"	"25"	"9850794269"	"simranmalhotra57@yahoo.com"	"Mumbai"	"Maharashtra"	"2024-11-23"
"C0032"	"Kavya Patel"	"Female"	"1969-03-23"	"57"	"9706235633"	"kavyapatel34@outlook.com"	"Ahmedabad"	"Gujarat"	"2022-12-03"
"C0033"	"Krishna Mallick"	"Male"	"1981-05-23"	"45"	"9239619716"	"krishnamallick40@outlook.com"	"Pune"	"Maharashtra"	"2024-06-21"
"C0034"	"Navdeep Chatterjee"	"Male"	"1982-10-01"	"44"	"9170544715"	"navdeepchatterjee25@gmail.com"	"Kochi"	"Kerala"	"2023-10-15"
"C0035"	"Sarita Punia"	"Female"	"1996-04-24"	"30"	"9373087124"	"saritapunia17@outlook.com"	"Bengaluru"	"Karnataka"	"2024-01-02"
"C0036"	"Vaishnavi Bhasin"	"Female"	"2008-04-14"	"18"	"9109073928"	"vaishnavibhasin12@outlook.com"	"Kochi"	"Kerala"	"2024-07-19"
"C0037"	"Rajat Verma"	"Male"	"2007-06-25"	"19"	"8924820971"	"rajatverma71@outlook.com"	"Kochi"	"Kerala"	"2024-09-16"
"C0038"	"Ojas Malik"	"Male"	"1973-07-20"	"53"	"9310804809"	"ojasmalik58@outlook.com"	"Lucknow"	"Uttar Pradesh"	"2023-10-07"
"C0039"	"Dheeraj Goyal"	"Male"	"1986-11-04"	"40"	"9672630985"	"dheerajgoyal11@yahoo.com"	"Ahmedabad"	"Gujarat"	"2025-12-07"
"C0040"	"Bharat Chouhan"	"Male"	"1996-07-08"	"30"	"9239348602"	"bharatchouhan63@yahoo.com"	"Chandigarh"	"Punjab"	"2022-02-07"
"C0041"	"Samaira Goyal"	"Female"	"2003-05-19"	"23"	"8953072041"	"samairagoyal30@icloud.com"	"Delhi"	"Delhi"	"2022-09-18"
"C0042"	"Vignesh Paramasivam"	"Male"	"1981-11-17"	"45"	"9996978107"	"vigneshparamasivam94@icloud.com"	"Pune"	"Maharashtra"	"2024-11-04"
"C0043"	"Parvez Alam"	"Male"	"1999-12-02"	"27"	"9490310002"	"parvezalam73@icloud.com"	"Ahmedabad"	"Gujarat"	"2024-02-20"
"C0044"	"Jyoti Shekhawat"	"Female"	"1990-03-08"	"36"	"9473889504"	"jyotishekhawat52@outlook.com"	"Mumbai"	"Maharashtra"	"2024-04-10"
"C0045"	"Neha Mehta"	"Female"	"1991-05-17"	"35"	"9355234599"	"nehamehta84@icloud.com"	"Hyderabad"	"Telangana"	"2022-07-11"
"C0046"	"Anika Iyer"	"Female"	"1989-11-27"	"37"	"9154401275"	"anikaiyer92@outlook.com"	"Kochi"	"Kerala"	"2025-10-31"
"C0047"	"Shreya Malhotra"	"Female"	"1969-06-07"	"57"	"9710870324"	"shreyamalhotra57@gmail.com"	"Mumbai"	"Maharashtra"	"2025-11-15"
"C0048"	"Uditnarayan Dasgupta"	"Male"	"1996-12-05"	"30"	"9845035264"	"uditnarayandasgupta93@yahoo.com"	"Jaipur"	"Rajasthan"	"2025-12-02"
"C0049"	"Maninder Sidhu"	"Male"	"2006-04-04"	"20"	"9755783211"	"manindersidhu36@outlook.com"	"Chennai"	"Tamil Nadu"	"2023-08-31"
"C0050"	"Shreya Nair"	"Female"	"2002-10-16"	"24"	"9054279832"	"shreyanair76@icloud.com"	"Ahmedabad"	"Gujarat"	"2025-11-28"
"C0051"	"Aarna Chhabra"	"Female"	"1989-03-03"	"37"	"9892921203"	"aarnachhabra14@outlook.com"	"Lucknow"	"Uttar Pradesh"	"2022-01-22"
"C0052"	"Aravindhan Sekar"	"Male"	"1984-02-19"	"42"	"9813266646"	"aravindhansekar32@gmail.com"	"Chennai"	"Tamil Nadu"	"2025-03-12"
"C0053"	"Umesh Shinde"	"Male"	"1966-08-08"	"60"	"9760190697"	"umeshshinde16@outlook.com"	"Kochi"	"Kerala"	"2023-01-24"
"C0054"	"Lokendra Khatri"	"Male"	"2001-12-23"	"25"	"9459812987"	"lokendrakhatri85@icloud.com"	"Bengaluru"	"Karnataka"	"2024-10-05"
"C0055"	"Ashutosh Kanojia"	"Male"	"1990-09-08"	"36"	"9567003713"	"ashutoshkanojia49@yahoo.com"	"Lucknow"	"Uttar Pradesh"	"2022-02-03"
"C0056"	"Anika Mehta"	"Female"	"2008-06-25"	"18"	"9495192056"	"anikamehta57@gmail.com"	"Chandigarh"	"Punjab"	"2025-09-04"
"C0057"	"Palak Rai"	"Female"	"2002-01-21"	"24"	"9522453254"	"palakrai40@gmail.com"	"Bengaluru"	"Karnataka"	"2025-05-14"
"C0058"	"Harshad Verma"	"Male"	"1983-11-08"	"43"	"9733086045"	"harshadverma55@yahoo.com"	"Ahmedabad"	"Gujarat"	"2023-04-24"
"C0059"	"Eshaan Sodhi"	"Male"	"1994-02-09"	"32"	"9978572790"	"eshaansodhi81@yahoo.com"	"Bengaluru"	"Karnataka"	"2023-03-21"
"C0060"	"Pratham Joshi"	"Male"	"2005-05-01"	"21"	"9919184789"	"prathamjoshi87@outlook.com"	"Jaipur"	"Rajasthan"	"2024-08-22"
"C0061"	"Shreya Iyer"	"Female"	"2005-07-21"	"21"	"9004344753"	"shreyaiyer94@outlook.com"	"Bengaluru"	"Karnataka"	"2024-11-13"
"C0062"	"Ananya Verma"	"Female"	"1995-09-23"	"31"	"9956474769"	"ananyaverma39@gmail.com"	"Delhi"	"Delhi"	"2022-04-15"
"C0063"	"Neha Chandel"	"Female"	"1993-03-18"	"33"	"9505907168"	"nehachandel59@yahoo.com"	"Hyderabad"	"Telangana"	"2024-12-06"
"C0064"	"Dhruv Khanna"	"Male"	"1997-10-18"	"29"	"9185875896"	"dhruvkhanna21@icloud.com"	"Kochi"	"Kerala"	"2024-07-14"
"C0065"	"Manya Verma"	"Female"	"2005-03-17"	"21"	"9230742333"	"manyaverma58@yahoo.com"	"Chandigarh"	"Punjab"	"2024-08-31"
"C0066"	"Darsh Kapoor"	"Male"	"1993-11-02"	"33"	"9361239311"	"darshkapoor35@outlook.com"	"Ahmedabad"	"Gujarat"	"2025-08-24"
"C0067"	"Yatin Sharma"	"Male"	"1981-12-24"	"45"	"9404185531"	"yatinsharma62@gmail.com"	"Kolkata"	"West Bengal"	"2023-05-10"
"C0068"	"Vivekanand Reddy"	"Male"	"1984-01-05"	"42"	"8972555879"	"vivekanandreddy17@gmail.com"	"Ahmedabad"	"Gujarat"	"2025-03-09"
"C0069"	"Vimla Sihag"	"Female"	"1983-09-23"	"43"	"8950616305"	"vimlasihag18@yahoo.com"	"Kochi"	"Kerala"	"2022-05-04"
"C0070"	"Samarth Purohit"	"Male"	"2004-11-05"	"22"	"9740749843"	"samarthpurohit80@gmail.com"	"Delhi"	"Delhi"	"2024-03-01"
"C0071"	"Meera Sharma"	"Female"	"1972-09-13"	"54"	"9149579844"	"meerasharma38@outlook.com"	"Chennai"	"Tamil Nadu"	"2024-10-06"
"C0072"	"Varun Singh"	"Male"	"1984-01-17"	"42"	"9528220451"	"varunsingh34@icloud.com"	"Bengaluru"	"Karnataka"	"2023-07-27"
"C0073"	"Daksh Chakraborty"	"Male"	"1976-05-08"	"50"	"9975474220"	"dakshchakraborty76@yahoo.com"	"Kochi"	"Kerala"	"2024-12-22"
"C0074"	"Tejas Kulkarni"	"Male"	"2005-11-13"	"21"	"9834164163"	"tejaskulkarni12@yahoo.com"	"Kochi"	"Kerala"	"2025-07-20"
"C0075"	"Pratik Mondal"	"Male"	"1973-05-23"	"53"	"9147885649"	"pratikmondal73@outlook.com"	"Kochi"	"Kerala"	"2025-02-24"
"C0076"	"Deepesh Jha"	"Male"	"2001-01-28"	"25"	"8937288835"	"deepeshjha84@gmail.com"	"Delhi"	"Delhi"	"2025-08-28"
"C0077"	"Tarun Dutta"	"Male"	"1984-06-15"	"42"	"9641744318"	"tarundutta38@yahoo.com"	"Chandigarh"	"Punjab"	"2023-06-17"
"C0078"	"Ira Singh"	"Female"	"1993-08-23"	"33"	"9453919455"	"irasingh61@gmail.com"	"Kochi"	"Kerala"	"2023-01-11"
"C0079"	"Saanvi Iyer"	"Female"	"1974-03-26"	"52"	"9597599637"	"saanviiyer74@outlook.com"	"Bengaluru"	"Karnataka"	"2022-02-02"
"C0080"	"Vikasraj Chaturthi"	"Male"	"1998-11-25"	"28"	"9540483756"	"vikasrajchaturthi23@icloud.com"	"Delhi"	"Delhi"	"2025-05-16"
"C0081"	"Kavya Sharma"	"Female"	"2006-12-17"	"20"	"9330781069"	"kavyasharma89@icloud.com"	"Kochi"	"Kerala"	"2024-08-04"
"C0082"	"Gaurav Bose"	"Male"	"1970-05-24"	"56"	"9397111644"	"gauravbose37@outlook.com"	"Kolkata"	"West Bengal"	"2022-08-04"
"C0083"	"Pranoy Deka"	"Male"	"2003-01-06"	"23"	"8968578326"	"pranoydeka81@outlook.com"	"Pune"	"Maharashtra"	"2024-04-10"
"C0084"	"Kamaljeet Pannu"	"Male"	"1998-09-27"	"28"	"9879877316"	"kamaljeetpannu16@gmail.com"	"Chennai"	"Tamil Nadu"	"2024-08-26"
"C0085"	"Mahesh Grover"	"Male"	"1987-01-11"	"39"	"9335425667"	"maheshgrover17@outlook.com"	"Kolkata"	"West Bengal"	"2022-01-06"
"C0086"	"Tanveer Iqbal"	"Male"	"2003-08-13"	"23"	"9371156337"	"tanveeriqbal37@yahoo.com"	"Delhi"	"Delhi"	"2023-12-07"
"C0087"	"Lata Sheoran"	"Female"	"1973-02-13"	"53"	"9430025165"	"latasheoran99@gmail.com"	"Bengaluru"	"Karnataka"	"2022-08-21"
"C0088"	"Nisha Nair"	"Female"	"1983-10-25"	"43"	"9937233716"	"nishanair80@gmail.com"	"Chennai"	"Tamil Nadu"	"2024-05-14"
"C0089"	"Bipin Kabra"	"Male"	"1967-08-04"	"59"	"9252029463"	"bipinkabra95@outlook.com"	"Ahmedabad"	"Gujarat"	"2022-10-14"
"C0090"	"Aviral Pandey"	"Male"	"1994-10-13"	"32"	"9055835490"	"aviralpandey86@outlook.com"	"Hyderabad"	"Telangana"	"2023-08-28"
"C0091"	"Kavya Gupta"	"Female"	"1985-06-19"	"41"	"9635554682"	"kavyagupta41@gmail.com"	"Chennai"	"Tamil Nadu"	"2025-04-18"
"C0092"	"Teerth Raval"	"Male"	"1984-10-15"	"42"	"9649407159"	"teerthraval17@gmail.com"	"Kochi"	"Kerala"	"2024-02-13"
"C0093"	"Priya Verma"	"Female"	"1984-12-10"	"42"	"9501544289"	"priyaverma92@icloud.com"	"Chandigarh"	"Punjab"	"2024-02-09"
"C0094"	"Manav Bhat"	"Male"	"1993-01-21"	"33"	"9239155337"	"manavbhat74@icloud.com"	"Hyderabad"	"Telangana"	"2025-05-15"
"C0095"	"Raghunandan Hazarika"	"Male"	"1992-02-16"	"34"	"9770695290"	"raghunandanhazarika61@outlook.com"	"Mumbai"	"Maharashtra"	"2024-06-14"
"C0096"	"Faisal Khan"	"Male"	"1998-01-14"	"28"	"9045012255"	"faisalkhan71@gmail.com"	"Hyderabad"	"Telangana"	"2025-10-28"
"C0097"	"Pallav Kar"	"Male"	"2004-04-10"	"22"	"9098256923"	"pallavkar95@yahoo.com"	"Pune"	"Maharashtra"	"2025-11-18"
"C0098"	"Dayanand Hiremath"	"Male"	"1989-12-15"	"37"	"9592262176"	"dayanandhiremath20@yahoo.com"	"Chandigarh"	"Punjab"	"2024-02-01"
"C0099"	"Abhishek Jain"	"Male"	"1982-09-06"	"44"	"9689416390"	"abhishekjain30@yahoo.com"	"Chennai"	"Tamil Nadu"	"2024-11-23"
"C0100"	"Naveedullah Khan"	"Male"	"1970-02-12"	"56"	"9519545519"	"naveedullahkhan94@icloud.com"	"Chandigarh"	"Punjab"	"2025-08-13"
